Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Belgium,0.489009981,0.473909396,0.484192092,0.483641187,0.486459647,0.493675393,0.492120975,0.513788616,0.496479786,0.536572056,0.555044759,0.567930402,0.496718827,0.51967625,0.435052742,0.365433832,0.535129552,0.531616552,0.39783476,0.550538979,0.474438709,0.627410561,0.568122435,0.444743094
Belize,0.000318012,0.000312552,0.000301633,0.000209505,0.00021633,0.000234755,0.005327246,0.006878827,0.008059333,0.008984552,0.010605351,0.00950114,0.007906959,0.006258024,0.005184588,0.005257803,0.005394287,0.003983779,0.003789815,0.004445668,0.00564745,0.001826954,0.002215809,0.003796889
Benin,6.82428e-06,6.82428e-06,6.82428e-06,6.82428e-06,3.41214e-06,3.41214e-06,4.30898e-05,3.30654e-05,3.29754e-05,1.31725e-05,1.31685e-05,3.41214e-06,3.41214e-06,6.82428e-06,6.82428e-06,2.04728e-05,3.41214e-05,2.04728e-05,1.74019e-05,2.76383e-05,2.42262e-05,5.83476e-05,6.18384e-05,0.000112805
Bermuda,6.63093e-05,7.75007e-05,7.63007e-05,7.59407e-05,7.51231e-05,7.49956e-05,7.43956e-05,7.90753e-05,6.89809e-05,6.34426e-05,6.04897e-05,5.82984e-05,5.70984e-05,5.72484e-05,5.70624e-05,5.59163e-05,5.53943e-05,5.9887e-05,5.91785e-05,5.78849e-05,5.26402e-05,5.26402e-05,5.59215e-05,5.62958e-05
Bhutan,0.007390938,0.007774081,0.008647873,0.009637346,0.0091908,0.0103544,0.016782966,0.023584165,0.024901531,0.024942204,0.026211727,0.025440285,0.024652623,0.026986439,0.025755202,0.027795361,0.028841385,0.028793516,0.02661157,0.032573528,0.04140882,0.040014936,0.040206606,0.038182257
Bolivia,0.202759324,0.262964042,0.306408362,0.351374403,0.468544577,0.556761835,0.605744802,0.641864691,0.657396378,0.570385214,0.637564043,0.691401336,0.786670722,0.896029544,0.925785197,0.898952057,0.857465112,0.849433307,0.773613256,0.687392538,0.660892142,0.705426534,0.646706182,0.564747139
Bosnia and Herzegovina,0.12506701,0.126998865,0.133417181,0.11919298,0.101963569,0.10386078,0.105265294,0.10244526,0.114464309,0.118282929,0.119811307,0.117799447,0.11530949,0.114885007,0.110652519,0.107706399,0.113235276,0.118017711,0.126816415,0.118984856,0.109739812,0.123507564,0.224332672,0.209631635
Botswana,0.020933489,0.020376747,0.021222994,0.018327937,0.020287668,0.021935624,0.021423421,0.018439286,0.020265399,0.016435016,0.022002433,0.017548499,0.032762095,0.033322249,0.038222554,0.046544448,0.041937501,0.049625184,0.048413647,0.047198676,0.041959594,0.044360541,0.058859785,0.049720323
Brazil,4.505470158,4.595924383,5.086435802,5.335206382,5.407100092,5.843276673,6.14184843,6.401159001,6.79389976,7.040601913,7.579099791,7.791117781,7.824299878,7.895722931,8.495594499,8.939722355,9.215754645,9.573606162,9.674302847,10.30577563,10.55582348,10.31652813,10.82447803,10.90932145
British Virgin Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.75336e-06,4.777e-06,4.777e-06,4.777e-06,4.777e-06,5.45943e-06,5.45943e-06,7.84793e-06,1.36486e-05,1.36486e-05,1.36486e-05,1.36486e-05,1.36486e-05,1.36486e-05
Brunei,0.77630387,0.809812009,0.84192954,0.870042598,0.867651772,0.856580906,0.970949328,0.906304174,0.87877709,0.773624079,0.789077174,0.814547127,0.771211874,0.72268917,0.67060381,0.708222184,0.681282094,0.706120962,0.69901765,0.727491229,0.691808893,0.644316196,0.582659442,0.57053286
Bulgaria,0.385535129,0.394134326,0.414555821,0.380261784,0.381391265,0.492373432,0.412145436,0.371872047,0.379775001,0.362138277,0.386343747,0.455974323,0.431244692,0.384311998,0.41606127,0.443047382,0.410963464,0.430796782,0.428760471,0.414144058,0.373703516,0.42973527,0.472894558,0.360000808
Burkina Faso,0.000330978,0.000180844,0.000218377,0.000327566,0.000342579,0.000339508,0.00027263,0.000376359,0.000459274,0.000446991,0.000416281,0.000307093,0.000361687,0.000395808,0.000344626,0.000361687,0.000547347,0.000554133,0.001200214,0.001184541,0.001524671,0.001522727,0.001360407,0.001484201
Burma,0.152772033,0.26986941,0.367241016,0.415680308,0.437131404,0.549171073,0.537748651,0.571509633,0.527447144,0.496811906,0.523960024,0.521126307,0.525634834,0.543064919,0.643182591,0.721364809,0.775071171,0.761619155,0.717798122,0.739059228,0.710797682,0.720351469,0.633593143,0.569107753
Burundi,0.00033439,0.000388984,0.00042993,0.000341214,0.000307093,0.000324153,0.000313917,0.000395808,0.000378748,0.000409457,0.000532965,0.000498465,0.00053821,0.000547902,0.000548411,0.000537028,0.000565931,0.000719352,0.000881045,0.000959131,0.000979768,0.000931218,0.000932144,0.000933158
Cabo Verde,2.72971e-05,2.04728e-05,2.04728e-05,1.70607e-05,2.04728e-05,2.04728e-05,2.3885e-05,2.3885e-05,2.04728e-05,2.3885e-05,1.36486e-05,8.53035e-05,0.000242262,0.000283208,0.000307093,0.000290032,0.000283208,0.000255911,0.000303681,0.000283208,0.000249086,0.000283208,0.000498173,0.000498173
Cambodia,0.000160371,0.000105776,0.000102364,0.000214188,0.000229166,0.000293538,0.000319398,0.000325346,0.000321071,0.000319545,0.000315577,0.000379607,0.001962253,0.003569303,0.006461514,0.007172619,0.009328595,0.009825975,0.017717674,0.015725012,0.015464605,0.02053428,0.024992654,0.02131287
Cameroon,0.259315922,0.235021374,0.245671465,0.233756347,0.224925853,0.207682302,0.218874172,0.202295511,0.19283724,0.181959389,0.163850305,0.154867793,0.162205439,0.151682842,0.195651786,0.252987716,0.242057475,0.205224774,0.226397157,0.255329574,0.262519506,0.252903789,0.250367603,0.243588179
