Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
British Virgin Islands,0.1071,0.1229,0.139,0.1389,0.146,0.1583,0.1662,0.1794,0.1801,0.1867,0.1972,0.1926,0.1985,0.1981,0.1986,0.2118,0.2183,0.1739,0.1625,0.164,0.164,0.171,0.173991446,0.174
Brunei,2.543,2.579,2.701,3.191,3.264,3.264,3.298,3.395,3.423,3.612,3.792,3.723,3.93,4.402,4.506,4.199,4.27,4.157,4.294,4.9333,5.7363,5.699,5.603,5.582857805
Bulgaria,39.505,41.988,41.94,40.849,40.085,42.503,43.993,41.7738,43.275,41.051,44.6217,48.5443,45.2282,41.7996,45.763,47.5884,43.3792,43.8073,45.5374,42.8087,39.2078,46.3552,50.180099,39.5259642
Burkina Faso,0.3891,0.3647,0.3649,0.4447,0.4722,0.5153,0.5476,0.6113,0.6181,0.6985,0.5698,0.538,0.6344,0.7412,0.8807,1.0117,0.9887,1.1149,1.865,1.593,1.588,1.708,1.697,1.731709012
Burma,5.099,4.671,5.068,5.425,5.609,6.018,6.166,6.399,6.621,6.966,8.6276,10.4286,11.16,12.462,14.391,16.202,18.126,21.0494,21.6357,19.3151,18.7785,19.9711,23.24280847,25.67972954
Burundi,0.1,0.116,0.128,0.102,0.092,0.097,0.094,0.118,0.113,0.1244,0.1644,0.1479,0.1499,0.1687,0.1835,0.1757,0.1787,0.2734,0.3478,0.3962,0.3651,0.3818,0.384052536,0.384011865
Cabo Verde,0.1465,0.1649,0.1825,0.1993,0.2194,0.2366,0.2515,0.2685,0.2867,0.3118,0.3466,0.3659,0.3772,0.4041,0.4281,0.421,0.4443,0.4257,0.4301,0.4447,0.4226,0.4338,0.506,0.506
Cambodia,0.327,0.281,0.567,0.636,0.766,0.964,1.176,1.489,1.479,1.2563,1.0153,1.0593,1.4603,1.7993,3.1063,4.5753,5.7313,6.8443,8.5564,9.0397,8.958,10.0773,10.6423,13.7843
Cameroon,3.446,3.506,3.268,3.649,4.071,3.966,5.067,5.205,5.639,5.743,5.8574,5.88,5.4454,6.3413,6.8833,7.9414,7.1123,8.0371,8.5404,8.2803,8.8075,8.415,8.150643179,8.339234569
Canada,598.272,582.511,593.777,582.324,591.839,611.742,600.659,618.861,621.509,597.797,591.141,621.551,619.882,644.963,646.188,647.751,655.761,648.8357,641.241,632.5265,638.26,618.4968,642.8078495,615.1407191
Cayman Islands,0.441,0.465,0.482,0.506,0.451,0.482,0.555,0.604,0.615,0.626,0.624,0.626,0.607,0.615,0.621,0.64,0.668,0.6795,0.6727,0.7136,0.6877,0.7007,0.700468866,0.700884763
Central African Republic,0.106,0.107,0.107,0.109,0.149,0.159,0.166,0.16,0.16,0.159,0.1591,0.1733,0.1764,0.1384,0.1694,0.1694,0.1704,0.1514,0.151,0.151,0.151,0.1511,0.142105202,0.142105202
Chad,0.095,0.1,0.103,0.11,0.117,0.123,0.124,0.124,0.144,0.175,0.191,0.203,0.244,0.2781,0.2951,0.2993,0.3123,0.3173,0.34,0.35,0.352,0.43,0.391142378,0.391142378
Chile,41.115,42.321,43.448,46.612,50.988,52.219,55.029,58.278,59.462,60.372,60.246,65.641,69.57,72.841,70.175,74.91,78.817,78.9395,81.7703,83.9837,83.585,87.1362563,91.0436983,87.6785249
China,1352.562,1477.177,1651.199,1906.12,2197.32,2493.723,2858.545,3274.09,3458.229,3704.581,4186.849,4694.626,4973.139,5424.102,5786.071,5820.7698,6144.9459,6655.5744,7084.76733,7446.49283,7726.570745,8321.446925,8668.550259,9267.184282
Colombia,42.81,43.13,44.708,46.186,49.325,49.946,53.345,54.788,55.481,56.746,60.225,61.698,63.063,73.498,70.4505,77.9654,76.1607,78.4774,78.214,78.7936,77.75865,84.3516998,82.8593325,90.4266296
Comoros,0.031,0.033,0.036,0.039,0.0489,0.0525,0.0551,0.0518,0.048,0.0514,0.0686,0.0624,0.0614,0.0581,0.0545,0.0549,0.0604,0.0913,0.0988,0.1088,0.13,0.132,0.135152,0.135151789
Congo-Brazzaville,0.293,0.332,0.392,0.396,0.394,0.429,0.449,0.404,0.457,0.536,0.781,1.2851,1.6901,1.6993,1.7303,2.759,2.942,2.9531,3.0477,3.8542,3.9785,4.0772,4.9142,5.167625
Congo-Kinshasa,5.943,5.921,6.057,6.106,7.015,7.326,7.491,7.829,7.505,7.808,7.827,7.821,7.6691,8.312,8.907,9.009,9.1969,9.5671,10.7109,12.0274,12.5023,14.215,15.337,15.9
Cook Islands,0.0251,0.0261,0.0281,0.0292,0.0299,0.03,0.0323,0.0338,0.0336,0.0328,0.0338,0.0337,0.033,0.0333,0.0326,0.0328,0.0343,0.0378,0.0469,0.0438,0.038,0.0407,0.0407,0.0407
Costa Rica,6.852,6.884,7.426,7.295,7.972,8.196,8.631,8.982,9.401,9.239,9.511,9.761,10.1138,10.179,10.168,10.757,10.852,11.2704,11.4382,11.4133,11.729,12.737,12.4458078,11.7161883
Cote d'Ivoire,4.795,4.885,5.291,5.0748,5.493,5.6661,5.6292,5.6132,5.7812,5.8505,5.951,6.083,7.0,7.636,8.27,8.701,10.2424,10.1074,10.0354,10.6634,11.2593,11.344,12.616,11.13160252
Croatia,10.596,12.056,12.137,12.535,13.118,12.236,12.187,11.964,12.097,12.566,14.629,11.103,10.419,13.739,13.181,11.117,12.1545,11.4109,13.0298,12.0825,12.8142,14.6547,13.6904,16.8844551
