Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Belgium,2.699747191,2.69437742,2.680265983,2.76708035,2.803374053,2.776163372,2.767309807,2.778675023,2.863468509,2.61166999,2.807773167,2.614857736,2.530437577,2.598661789,2.41688288,2.443706773,2.595642125,2.603007748,2.617584997,2.618786642,2.348802705,2.614795163,2.409479715,2.239485889
Belize,0.007428958,0.008276229,0.008001148,0.008032313,0.007692335,0.008285367,0.008877338,0.00830977,0.007853899,0.008372244,0.010130359,0.008209331,0.009583774,0.009901727,0.009468152,0.010875059,0.010889942,0.012265986,0.011828068,0.014846707,0.01180476,0.012262179,0.012848695,0.012642231
Benin,0.023423762,0.026768523,0.030859283,0.035427055,0.037386583,0.035096753,0.047968187,0.056629623,0.057912987,0.064296068,0.073496241,0.068707984,0.06514717,0.066486147,0.070723575,0.0776879,0.094726809,0.100481513,0.110558629,0.102991256,0.108245082,0.084081389,0.086449286,0.091320434
Bermuda,0.00829809,0.00842698,0.008862959,0.008842627,0.009152636,0.00963381,0.010870267,0.012618162,0.012064089,0.00950187,0.011173692,0.007240508,0.007824536,0.007859489,0.010161678,0.008553141,0.010870424,0.010727898,0.010517172,0.009150015,0.00674464,0.00788932,0.008056011,0.007940869
Bhutan,0.004803326,0.005437567,0.005996761,0.006284427,0.006830952,0.00791087,0.011658041,0.008914959,0.00825745,0.010621073,0.012435629,0.012912461,0.014096623,0.015063798,0.01501476,0.015713662,0.017310472,0.018382731,0.020987619,0.021410446,0.030998936,0.049982432,0.053695856,0.05039308
Bolivia,0.135468332,0.112687349,0.124081471,0.173426602,0.179512463,0.17680915,0.194636073,0.209264257,0.215132693,0.212033743,0.216472364,0.223592894,0.268170867,0.271158676,0.275398966,0.288932409,0.304094231,0.319776134,0.326993209,0.326292241,0.2699732,0.323262983,0.352525258,0.359241168
Bosnia and Herzegovina,0.186115907,0.184041627,0.185396056,0.162829273,0.159738453,0.14461715,0.15006284,0.153747304,0.171776734,0.204649185,0.210639075,0.225545005,0.220567178,0.205936916,0.206055424,0.209795111,0.215024639,0.224698732,0.213623199,0.201719716,0.194056502,0.222409476,0.309075458,0.29056453
Botswana,0.048899372,0.051264509,0.053222235,0.054292949,0.054390097,0.057529194,0.06120076,0.062965187,0.065454446,0.061514763,0.063528882,0.066636298,0.065851091,0.065363477,0.06564336,0.079990553,0.088057914,0.080704576,0.080002516,0.077848155,0.075016462,0.079155103,0.099920401,0.080467454
Brazil,6.440554757,6.487543051,6.542783919,6.551761789,6.847688204,7.000753584,7.353055642,7.739157136,8.174944771,7.957364508,8.882662203,9.2179204,9.678114885,10.17572661,10.49281598,10.33981987,9.995334429,10.14570895,9.976044419,9.84538564,9.309246861,10.07680371,10.17785931,10.32249611
British Virgin Islands,0.001492735,0.001527765,0.001616028,0.001726392,0.001814655,0.0018668,0.002033656,0.002108205,0.002265235,0.002374254,0.002439595,0.002497787,0.002489096,0.002489096,0.002528957,0.00253833,0.002572373,0.002419091,0.002284009,0.002606399,0.002557769,0.002610589,0.002649969,0.002611899
Brunei,0.067095783,0.076286241,0.089079328,0.092156947,0.10233761,0.115285057,0.177669308,0.186514792,0.191561704,0.127084117,0.144752889,0.148690493,0.144529162,0.134417417,0.151174259,0.16705207,0.174498271,0.1752003,0.181797014,0.183746859,0.199783229,0.18962207,0.182837141,0.185123777
Bulgaria,0.738128467,0.746165291,0.754188691,0.760378344,0.751674204,0.780056828,0.800753729,0.771622527,0.757659397,0.68088139,0.683511099,0.74835166,0.718391001,0.664824693,0.705020369,0.73599449,0.71331066,0.725447161,0.713992893,0.709164003,0.661981261,0.723950283,0.743198614,0.654393852
Burkina Faso,0.013874182,0.015784543,0.016488035,0.018078775,0.0162013,0.017254462,0.017139673,0.024302104,0.026452585,0.024834899,0.02761773,0.031413765,0.037037906,0.044403153,0.041396933,0.052769875,0.050422638,0.058563059,0.065804873,0.068197755,0.068613683,0.078311835,0.077713411,0.080159229
Burma,0.151234683,0.138846561,0.160348035,0.1824986,0.191956603,0.24807622,0.231214185,0.249485066,0.224391247,0.197605457,0.205537089,0.209074268,0.258253138,0.299794626,0.35969312,0.330336425,0.386856125,0.507873418,0.529925211,0.51780783,0.523225246,0.504170857,0.45652312,0.453858668
Burundi,0.004972731,0.004011903,0.003689934,0.003009473,0.003649082,0.003054849,0.003666219,0.0059233,0.003675155,0.003671998,0.005333005,0.006515982,0.006042284,0.006646804,0.006145272,0.006259043,0.006984865,0.008255406,0.010671978,0.010882211,0.012297696,0.01205915,0.012424922,0.012945364
Cabo Verde,0.00460767,0.005148081,0.005599281,0.005572128,0.006090272,0.009521121,0.010113267,0.011276628,0.011435555,0.01082394,0.011610723,0.01368961,0.011990473,0.011718311,0.012638333,0.01252708,0.013125137,0.014002171,0.011562071,0.012309688,0.009175136,0.009564328,0.010180353,0.010446173
Cambodia,0.030258305,0.032177354,0.032121764,0.034855162,0.036059107,0.040826825,0.044190948,0.051915388,0.054530184,0.067496155,0.077903889,0.080489922,0.086893038,0.089306417,0.094173174,0.109068563,0.13545836,0.143300074,0.168456438,0.204114386,0.206774342,0.21887501,0.224605038,0.272929042
Cameroon,0.057997341,0.057072847,0.058388367,0.061912254,0.063352636,0.061281997,0.078618099,0.078695469,0.077911819,0.087238084,0.101746082,0.10788199,0.109308974,0.092158373,0.12190947,0.123057751,0.119684636,0.117948026,0.128021884,0.124109059,0.129006404,0.123046836,0.124469338,0.121192543
Canada,10.15260718,10.40032013,10.6203299,10.98205088,11.29799302,11.3805125,11.5852372,11.42779033,11.10227844,10.93205157,11.52836566,11.71058225,11.94838422,12.24359859,12.39575717,12.34686931,12.20621064,12.5908198,12.83106385,12.673748,11.64884176,11.80117486,12.24930429,12.45416234
Cayman Islands,0.007106775,0.007196546,0.007459981,0.007556409,0.007142248,0.007352567,0.007457443,0.008912809,0.009152626,0.008493058,0.008532452,0.008982827,0.008299163,0.008192369,0.008330495,0.008811742,0.008681613,0.010031636,0.010528922,0.011563649,0.010001133,0.009637387,0.010619899,0.010455339
Central African Republic,0.00437127,0.004500928,0.00445612,0.004153323,0.004226685,0.00418066,0.00434197,0.004334945,0.003340069,0.003201768,0.003283787,0.003590358,0.003689436,0.002546536,0.00287403,0.003889303,0.00415649,0.004270847,0.004385991,0.004559394,0.004779301,0.004866201,0.004791882,0.004915412
Chad,0.003521715,0.003380168,0.003336714,0.003298285,0.003474965,0.003740063,0.003796554,0.004189782,0.004393579,0.004790084,0.005313157,0.007604638,0.013168378,0.013657665,0.014195084,0.014393009,0.014215792,0.022917145,0.023435159,0.023985295,0.025253777,0.028140299,0.028215878,0.029010645
Chile,0.850212647,0.87552833,0.917818599,0.953665717,1.039356992,1.070125387,1.079401627,1.11039068,1.123536473,1.092960305,1.118764688,1.200077067,1.193821836,1.246922499,1.197253601,1.238611627,1.304693274,1.340951855,1.376983873,1.391628038,1.288698527,1.40436345,1.430408102,1.422056677
China,40.96769488,42.65505992,45.7777964,53.35443037,64.29519225,72.1109499,79.72366957,85.82552553,89.1503718,96.5313003,107.5340204,117.9282637,125.4741295,129.414572,130.4127218,129.4952318,129.7462626,131.1447055,136.5741564,142.0960128,144.4419645,151.6368097,153.5197193,161.8967937
Colombia,0.951318553,0.955581367,0.960233634,0.945948426,0.944342979,0.97351778,1.031136288,1.031349392,1.010438262,1.041689519,1.101693111,1.229703016,1.317133778,1.361230967,1.440765489,1.421086265,1.447315088,1.401938952,1.462139416,1.502488084,1.322844094,1.539225793,1.597658764,1.533279563
Comoros,0.001482219,0.0015474,0.001550813,0.001981073,0.002171339,0.00208443,0.002431692,0.001596012,0.001627784,0.001992801,0.002372842,0.002128627,0.002227308,0.002667315,0.002381291,0.002570444,0.003016017,0.003876545,0.002812525,0.003097955,0.00365285,0.0054901,0.00588682,0.0060707
Congo-Brazzaville,0.011150989,0.01398287,0.012138775,0.014775342,0.01592776,0.022138053,0.026762084,0.033728964,0.03844744,0.047486453,0.064834177,0.076194796,0.077253912,0.099310051,0.094338213,0.094509216,0.089953924,0.065323121,0.060692616,0.049348203,0.040732356,0.04179569,0.044537181,0.045448762
Congo-Kinshasa,0.032301266,0.030643783,0.032668887,0.035621596,0.04049889,0.045939822,0.050893982,0.052247648,0.049141543,0.045753461,0.055708954,0.064681117,0.067206795,0.086420401,0.109864315,0.079001575,0.067832069,0.0722846,0.089015014,0.097387991,0.099356491,0.105238148,0.126959218,0.138062082
Cook Islands,0.00093373,0.000890614,0.000482262,0.000444762,0.000754868,0.001208813,0.001288022,0.001086673,0.001116471,0.001028567,0.001221884,0.001371166,0.001453776,0.001448271,0.00152938,0.00142068,0.001474961,0.001576432,0.001608254,0.001612312,0.001123138,0.001184303,0.001413913,0.001493256
Costa Rica,0.099269173,0.101040781,0.10501448,0.109816229,0.109962389,0.116845117,0.123609693,0.132785764,0.132373575,0.127911784,0.130546512,0.131666222,0.133173951,0.136031006,0.139309628,0.140437418,0.148470404,0.153252852,0.157397389,0.157903949,0.138290441,0.154294096,0.158400543,0.156867693
Cote d'Ivoire,0.113572844,0.111929632,0.109208426,0.096714972,0.106127292,0.121116936,0.101717707,0.107851043,0.119117676,0.114273887,0.120352291,0.110378931,0.137232371,0.15415393,0.16158362,0.164511654,0.187522,0.183178159,0.183950558,0.195979538,0.190094882,0.226014213,0.267097154,0.264579015
Croatia,0.326714343,0.334791595,0.336820889,0.375692975,0.359691125,0.364551194,0.367865858,0.376056312,0.374105676,0.353858573,0.343408468,0.326528656,0.327302121,0.305780638,0.288164052,0.292933866,0.298212298,0.309855111,0.31437045,0.322713158,0.29821771,0.308582324,0.30246064,0.306560157
Cuba,0.373945069,0.344415135,0.348344654,0.353451798,0.358159013,0.352546898,0.343451529,0.346706944,0.396575601,0.399526123,0.454390881,0.408035637,0.444018387,0.426029663,0.433964771,0.435309338,0.339255613,0.360949465,0.359954589,0.321255799,0.287108194,0.259901131,0.293029479,0.287287422
