Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Brunei,2.543,2.579,2.701,3.191,3.264,3.264,3.298,3.395,3.423,3.612,3.792,3.723,3.928,4.4,4.504,4.198,4.269,4.155,4.292,4.9313,5.7343,5.695,5.598,5.577857805
Bulgaria,19.78,22.244,19.742,22.013,21.423,20.96,21.744,25.367,25.857,23.407,24.98,29.774,25.467,21.973,23.672,24.591,21.769,23.2713,21.0367,19.7732,16.1594,20.5251,24.367474,13.93
Burkina Faso,0.2921,0.3117,0.3009,0.3487,0.3718,0.4158,0.4677,0.501,0.4835,0.5675,0.4478,0.448,0.5284,0.6252,0.7797,0.9057,0.8317,0.9559,1.6,1.336,1.292,1.4,1.435,1.435
Burma,3.226,2.867,2.957,3.35,3.201,3.019,2.839,2.778,2.548,1.708,2.436,2.907,3.199,3.424,5.328,6.566,8.123,9.8284,9.0497,8.4521,9.6425,10.113,13.743448,15.87324928
Burundi,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.0044,0.0175,0.0129,0.0029,0.0207,0.0335,0.0287,0.0241,0.0738,0.0991,0.1238,0.0866,0.118,0.120147,0.119990792
Cabo Verde,0.1385,0.1589,0.1765,0.1943,0.2134,0.2306,0.2445,0.2615,0.2807,0.3048,0.3426,0.3409,0.3062,0.3211,0.3381,0.336,0.3613,0.3507,0.3411,0.3617,0.3496,0.3508,0.36,0.36
Cambodia,0.28,0.25,0.537,0.587,0.724,0.905,1.111,1.424,1.417,1.198,0.96,0.985,0.921,0.773,1.243,2.539,3.069,4.053,3.4753,4.5849,4.5345,4.141,3.746,7.647
Cameroon,0.038,0.067,0.118,0.156,0.19,0.232,0.571,1.32,1.372,1.696,1.58,1.463,1.164,1.939,2.474,3.581,2.734,2.9437,3.5077,3.1931,3.5131,3.117,2.851,3.010660767
Canada,165.75,170.766,165.566,167.264,158.825,157.18,148.724,155.903,148.521,133.046,139.762,141.436,132.107,130.342,133.107,134.604,131.951,116.4477,116.39,113.6955,114.5647,114.1285,116.2188844,115.9890852
Cayman Islands,0.441,0.465,0.482,0.506,0.451,0.482,0.555,0.604,0.615,0.626,0.624,0.626,0.607,0.615,0.621,0.64,0.666,0.6705,0.6577,0.6956,0.6677,0.6787,0.677885,0.677884763
Central African Republic,0.023,0.025,0.025,0.026,0.025,0.026,0.027,0.024,0.024,0.024,0.025,0.027,0.027,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.0011,0.001105202,0.001105202
Chad,0.095,0.1,0.103,0.11,0.117,0.123,0.124,0.124,0.144,0.175,0.191,0.203,0.235,0.269,0.286,0.29,0.294,0.299,0.32,0.33,0.331,0.408,0.369,0.369
Chile,20.621,19.453,19.455,23.341,27.191,24.204,24.753,32.674,32.39,30.976,36.026,39.693,44.33,46.841,40.113,42.542,45.016,44.5667,44.2636,45.1699,43.0939,44.0585563,40.661,31.215
China,1113.413,1182.711,1337.601,1580.101,1795.567,2042.927,2364.229,2718.749,2783.801,2981.276,3332.623,3819.124,3881.107,4209.233,4370.875,4264.019,4422.641,4760.8037,4969.9855,5098.8755,5174.0173,5499.357415,5580.292313,5928.029066
Colombia,10.555,11.148,10.583,9.872,9.123,9.982,10.43,10.198,8.944,15.5,17.764,11.261,13.941,22.627,21.776,28.58,26.182,16.401,18.508,24.0516,26.96165,21.0294998,21.2472692,30.7759548
Comoros,0.029,0.031,0.033,0.035,0.0439,0.0475,0.0501,0.0468,0.043,0.0464,0.0636,0.0574,0.0584,0.0561,0.0525,0.0529,0.0584,0.0909,0.0984,0.1084,0.13,0.132,0.135152,0.135151789
Congo-Brazzaville,0.001,0.001,0,0.057,0.067,0.078,0.081,0.072,0.086,0.209,0.355,0.502,0.713,0.738,0.788,1.671,1.825,1.7611,2.0007,2.8072,2.9315,3.03,3.867,4.103625
